index,time2,
330,1459843498,1459843498
330,1459843633,1459843633
330,1459843813,1459843813
330,1459843993,1459843993
330,1459844128,1459844128
330,1459844353,1459844353
330,1459844488,1459844488
330,1459844668,1459844668
330,1459844848,1459844848
330,1459844983,1459844983
330,1459845163,1459845163
330,1459845343,1459845343
330,1459845523,1459845523
330,1459845658,1459845658
330,1459845838,1459845838
330,1459846018,1459846018
330,1459846198,1459846198
330,1459846378,1459846378
330,1459846558,1459846558
330,1459846693,1459846693
330,1459846873,1459846873
330,1459847008,1459847008
330,1459847188,1459847188
330,1459847368,1459847368
330,1459847548,1459847548
330,1459847683,1459847683
330,1459847863,1459847863
330,1459847998,1459847998
330,1459848178,1459848178
330,1459848358,1459848358
330,1459848493,1459848493
330,1459848673,1459848673
330,1459848808,1459848808
330,1459848988,1459848988
330,1459849033,1459849033
330,1459867633,1459867633
330,1459873361,1459873361
330,1459896660,1459896660
330,1459896824,1459896824
330,1459896988,1459896988
330,1459897152,1459897152
333,1459822817,1459822817
333,1459829833,1459829833
333,1459896665,1459896665
333,1459896739,1459896739
334,1459811032,1459811032
334,1459813143,1459813143
334,1459818986,1459818986
334,1459821907,1459821907
334,1459822203,1459822203
334,1459825640,1459825640
334,1459825772,1459825772
334,1459825948,1459825948
334,1459825992,1459825992
334,1459828868,1459828868
334,1459829044,1459829044
334,1459829220,1459829220
334,1459829396,1459829396
334,1459831464,1459831464
334,1459831632,1459831632
334,1459831728,1459831728
334,1459831948,1459831948
334,1459832156,1459832156
334,1459832300,1459832300
334,1459832476,1459832476
334,1459833620,1459833620
334,1459833796,1459833796
334,1459833928,1459833928
334,1459834104,1459834104
334,1459834236,1459834236
334,1459834456,1459834456
334,1459837460,1459837460
334,1459837668,1459837668
334,1459837844,1459837844
334,1459837976,1459837976
334,1459838108,1459838108
334,1459838328,1459838328
334,1459838416,1459838416
334,1459839358,1459839358
334,1459839604,1459839604
334,1459839824,1459839824
334,1459839956,1459839956
334,1459840176,1459840176
334,1459840220,1459840220
334,1459840660,1459840660
334,1459840825,1459840825
334,1459840968,1459840968
334,1459841496,1459841496
334,1459873275,1459873275
334,1459880524,1459880524
334,1459884575,1459884575
334,1459884577,1459884577
334,1459892482,1459892482
334,1459895742,1459895742
334,1459896188,1459896188
334,1459896320,1459896320
335,1459811228,1459811228
335,1459811372,1459811372
335,1459811458,1459811458
335,1459812138,1459812138
335,1459813035,1459813035
335,1459813235,1459813235
335,1459813315,1459813315
335,1459813555,1459813555
335,1459814435,1459814435
335,1459814595,1459814595
335,1459814635,1459814635
