index,time1,time2,group
26,1464615499,1464615559,d1
26,1464615667,1464615727,d1
26,1464615793,1464615853,d1
26,1464615961,1464616021,d1
26,1464619579,1464619639,d1
26,1464620539,1464620599,d1
26,1464620707,1464620767,d1
26,1464620791,1464620851,d1
26,1464621043,1464621103,d1
26,1464621224,1464621284,d1
26,1464632474,1464632534,d1
26,1464636295,1464636355,d1
26,1464636427,1464636487,d1
26,1464637791,1464637851,d1
26,1464637835,1464637895,d1
26,1464638431,1464638491,d1
26,1464640117,1464640177,d1
26,1464643849,1464643909,d1
26,1464643975,1464644035,d1
26,1464646117,1464646177,d1
26,1464646159,1464646219,d1
26,1464648295,1464648355,d1
26,1464648667,1464648727,d1
26,1464648791,1464648851,d1
26,1464649209,1464649269,d1
26,1464651430,1464651490,d1
26,1464655063,1464655123,d1
26,1464655189,1464655249,d1
26,1464655357,1464655417,d1
26,1464655567,1464655627,d1
26,1464655735,1464655795,d1
26,1464655903,1464655963,d1
26,1464656071,1464656131,d1
26,1464656155,1464656215,d1
26,1464660115,1464660175,d1
26,1464660399,1464660459,d1
26,1464660439,1464660499,d1
26,1464696391,1464696451,d1
26,1464696575,1464696635,d1
26,1464696707,1464696767,d1
26,1464697059,1464697119,d1
26,1464697103,1464697163,d1
26,1464698863,1464698923,d1
26,1464698907,1464698967,d1
26,1464699283,1464699343,d1
33,1464619815,1464619875,d1
33,1464619973,1464620033,d1
33,1464623984,1464624044,d1
33,1464628205,1464628265,d1
33,1464629943,1464630003,d1
33,1464630188,1464630248,d1
33,1464630326,1464630386,d1
33,1464630493,1464630553,d1
33,1464630857,1464630917,d1
33,1464630941,1464631001,d1
33,1464631194,1464631254,d1
33,1464631318,1464631378,d1
33,1464631525,1464631585,d1
33,1464631705,1464631765,d1
33,1464632006,1464632066,d1
33,1464632393,1464632453,d1
33,1464632592,1464632652,d1
33,1464632779,1464632839,d1
33,1464632920,1464632980,d1
33,1464633076,1464633136,d1
33,1464633096,1464633156,d1
33,1464633735,1464633795,d1
33,1464634115,1464634175,d1
33,1464634130,1464634190,d1
33,1464634607,1464634667,d1
33,1464634884,1464634944,d1
33,1464635000,1464635060,d1
33,1464635288,1464635348,d1
33,1464635408,1464635468,d1
33,1464635540,1464635600,d1
33,1464637652,1464637712,d1
33,1464637784,1464637844,d1
33,1464637960,1464638020,d1
33,1464638136,1464638196,d1
33,1464638312,1464638372,d1
33,1464638503,1464638563,d1
33,1464638664,1464638724,d1
33,1464638854,1464638914,d1
33,1464638972,1464639032,d1
33,1464640675,1464640735,d1
33,1464640793,1464640853,d1
33,1464641323,1464641383,d1
33,1464641409,1464641469,d1
33,1464641624,1464641684,d1
33,1464641849,1464641909,d1
33,1464642008,1464642068,d1
33,1464642188,1464642248,d1
33,1464642368,1464642428,d1
33,1464642548,1464642608,d1
33,1464642593,1464642653,d1
33,1464642794,1464642854,d1
33,1464642822,1464642882,d1
33,1464643223,1464643283,d1
33,1464643381,1464643441,d1
33,1464643548,1464643608,d1
33,1464643671,1464643731,d1
33,1464643790,1464643850,d1
33,1464643944,1464644004,d1
33,1464645124,1464645184,d1
33,1464645387,1464645447,d1
33,1464645596,1464645656,d1
33,1464645640,1464645700,d1
33,1464645690,1464645750,d1
33,1464646668,1464646728,d1
33,1464647048,1464647108,d1
33,1464657696,1464657756,d1
33,1464662189,1464662249,d1
33,1464662234,1464662294,d1
33,1464662669,1464662729,d1
33,1464663392,1464663452,d1
33,1464664095,1464664155,d1
33,1464665496,1464665556,d1
33,1464695820,1464695880,d1
33,1464695952,1464696012,d1
33,1464696040,1464696100,d1
33,1464697673,1464697733,d1
34,1464637158,1464637218,d1
34,1464639436,1464639496,d1
34,1464639608,1464639668,d1
34,1464639780,1464639840,d1
34,1464639952,1464640012,d1
34,1464640124,1464640184,d1
34,1464642480,1464642540,d1
34,1464651559,1464651619,d1
34,1464651694,1464651754,d1
34,1464651874,1464651934,d1
34,1464652054,1464652114,d1
34,1464652189,1464652249,d1
34,1464652414,1464652474,d1
34,1464652549,1464652609,d1
34,1464652729,1464652789,d1
34,1464652909,1464652969,d1
34,1464653044,1464653104,d1
34,1464653224,1464653284,d1
34,1464653359,1464653419,d1
34,1464653584,1464653644,d1
34,1464653719,1464653779,d1
34,1464653944,1464654004,d1
34,1464654079,1464654139,d1
34,1464654259,1464654319,d1
34,1464654439,1464654499,d1
34,1464654574,1464654634,d1
34,1464654754,1464654814,d1
34,1464654889,1464654949,d1
34,1464654979,1464655039,d1
34,1464656397,1464656457,d1
34,1464657943,1464658003,d1
34,1464659171,1464659231,d1
34,1464659467,1464659527,d1
34,1464661168,1464661228,d1
34,1464661300,1464661360,d1
43,1464625898,1464625958,d1
43,1464626030,1464626090,d1
43,1464626206,1464626266,d1
43,1464626373,1464626433,d1
43,1464626416,1464626476,d1
43,1464627346,1464627406,d1
43,1464635276,1464635336,d1
43,1464635444,1464635504,d1
43,1464635486,1464635546,d1
43,1464636618,1464636678,d1
43,1464636833,1464636893,d1
43,1464637005,1464637065,d1
43,1464637156,1464637216,d1
43,1464637286,1464637346,d1
43,1464637501,1464637561,d1
43,1464637630,1464637690,d1
43,1464637802,1464637862,d1
43,1464637974,1464638034,d1
43,1464638132,1464638192,d1
43,1464638636,1464638696,d1
43,1464638846,1464638906,d1
43,1464646089,1464646149,d1
43,1464646265,1464646325,d1
43,1464646441,1464646501,d1
43,1464646617,1464646677,d1
43,1464646749,1464646809,d1
43,1464646890,1464646950,d1
43,1464647456,1464647516,d1
43,1464647582,1464647642,d1
43,1464647960,1464648020,d1
43,1464648078,1464648138,d1
43,1464651859,1464651919,d1
43,1464653238,1464653298,d1
43,1464657617,1464657677,d1
43,1464657793,1464657853,d1
43,1464657891,1464657951,d1
43,1464659087,1464659147,d1
43,1464662183,1464662243,d1
43,1464662702,1464662762,d1
43,1464662875,1464662935,d1
43,1464663080,1464663140,d1
43,1464663248,1464663308,d1
43,1464663359,1464663419,d1
43,1464667671,1464667731,d1
43,1464667697,1464667757,d1
43,1464668861,1464668921,d1
43,1464669037,1464669097,d1
43,1464669213,1464669273,d1
43,1464669389,1464669449,d1
43,1464669477,1464669537,d1
43,1464670262,1464670322,d1
43,1464670934,1464670994,d1
43,1464671144,1464671204,d1
47,1464632389,1464632449,d1
47,1464632594,1464632654,d1
47,1464632758,1464632818,d1
47,1464632799,1464632859,d1
47,1464633090,1464633150,d1
47,1464633258,1464633318,d1
47,1464633384,1464633444,d1
47,1464633552,1464633612,d1
47,1464633762,1464633822,d1
47,1464633930,1464633990,d1
47,1464634098,1464634158,d1
47,1464634266,1464634326,d1
47,1464634434,1464634494,d1
47,1464634602,1464634662,d1
47,1464634770,1464634830,d1
47,1464634938,1464634998,d1
47,1464635106,1464635166,d1
47,1464635148,1464635208,d1
47,1464635781,1464635841,d1
47,1464635943,1464636003,d1
47,1464636107,1464636167,d1
47,1464636272,1464636332,d1
47,1464636436,1464636496,d1
47,1464636641,1464636701,d1
47,1464636846,1464636906,d1
47,1464637010,1464637070,d1
47,1464637133,1464637193,d1
47,1464637297,1464637357,d1
47,1464637503,1464637563,d1
47,1464637625,1464637685,d1
47,1464637789,1464637849,d1
47,1464637953,1464638013,d1
47,1464638159,1464638219,d1
47,1464638324,1464638384,d1
47,1464638487,1464638547,d1
47,1464638528,1464638588,d1
47,1464639626,1464639686,d1
47,1464639759,1464639819,d1
47,1464639964,1464640024,d1
47,1464640005,1464640065,d1
47,1464640497,1464640557,d1
47,1464640661,1464640721,d1
47,1464640825,1464640885,d1
47,1464641000,1464641060,d1
47,1464641153,1464641213,d1
47,1464641358,1464641418,d1
47,1464641522,1464641582,d1
47,1464641686,1464641746,d1
47,1464641850,1464641910,d1
47,1464642014,1464642074,d1
47,1464642219,1464642279,d1
47,1464642383,1464642443,d1
47,1464642547,1464642607,d1
47,1464642711,1464642771,d1
47,1464642793,1464642853,d1
47,1464643039,1464643099,d1
47,1464643203,1464643263,d1
47,1464643367,1464643427,d1
47,1464643449,1464643509,d1
47,1464643686,1464643746,d1
47,1464643859,1464643919,d1
47,1464644023,1464644083,d1
47,1464644064,1464644124,d1
47,1464644556,1464644616,d1
47,1464644720,1464644780,d1
47,1464644884,1464644944,d1
47,1464645089,1464645149,d1
47,1464645253,1464645313,d1
47,1464645775,1464645835,d1
47,1464645950,1464646010,d1
47,1464646114,1464646174,d1
47,1464646278,1464646338,d1
47,1464646442,1464646502,d1
47,1464646606,1464646666,d1
47,1464646770,1464646830,d1
47,1464646811,1464646871,d1
47,1464647549,1464647609,d1
47,1464647791,1464647851,d1
47,1464647918,1464647978,d1
47,1464648451,1464648511,d1
47,1464648808,1464648868,d1
47,1464648902,1464648962,d1
47,1464650105,1464650165,d1
47,1464650173,1464650233,d1
47,1464650809,1464650869,d1
47,1464650993,1464651053,d1
47,1464651162,1464651222,d1
47,1464651280,1464651340,d1
47,1464651690,1464651750,d1
47,1464651813,1464651873,d1
47,1464652059,1464652119,d1
47,1464652182,1464652242,d1
47,1464653043,1464653103,d1
47,1464653740,1464653800,d1
47,1464653910,1464653970,d1
47,1464654027,1464654087,d1
47,1464654269,1464654329,d1
47,1464654437,1464654497,d1
47,1464654601,1464654661,d1
47,1464654642,1464654702,d1
47,1464654863,1464654923,d1
47,1464655052,1464655112,d1
47,1464655216,1464655276,d1
47,1464655339,1464655399,d1
47,1464655544,1464655604,d1
47,1464655749,1464655809,d1
47,1464655913,1464655973,d1
47,1464656405,1464656465,d1
47,1464656569,1464656629,d1
47,1464657869,1464657929,d1
47,1464659840,1464659900,d1
47,1464660239,1464660299,d1
47,1464660341,1464660401,d1
47,1464660649,1464660709,d1
47,1464660833,1464660893,d1
47,1464661038,1464661098,d1
47,1464661183,1464661243,d1
47,1464661364,1464661424,d1
47,1464661408,1464661468,d1
47,1464661862,1464661922,d1
47,1464662063,1464662123,d1
47,1464662145,1464662205,d1
47,1464662637,1464662697,d1
47,1464662842,1464662902,d1
47,1464663047,1464663107,d1
47,1464663252,1464663312,d1
47,1464663419,1464663479,d1
47,1464663561,1464663621,d1
47,1464663744,1464663804,d1
47,1464663785,1464663845,d1
47,1464664415,1464664475,d1
47,1464664587,1464664647,d1
